workbookRepoUrl,title,defaultViewName,viewCount,numberOfFavorites,authorDisplayName,authorProfileName,defaultViewRepoUrl,profileName,VOTD_flag
MOM2022W45_WhoAmericansspendtheirtimewithbyage,"MOM2022W45_Who Americans spend their time with,by age",goal,128,1,YusukeNakanishi,yusukenakanishi,MOM2022W45_WhoAmericansspendtheirtimewithbyage/sheets/goal,yusukenakanishi,
WOW2022_W44_Whatisthelifetimevalueofcustomers,WOW2022_W44_What is the lifetime value of customers?,Dashboard1,18,0,YusukeNakanishi,yusukenakanishi,WOW2022_W44_Whatisthelifetimevalueofcustomers/sheets/Dashboard1,yusukenakanishi,
MOM2022W44_FundraisingbyStateforthe117thCongress,MOM2022W44_Fundraising by State for the 117th Congress,goal,43,0,YusukeNakanishi,yusukenakanishi,MOM2022W44_FundraisingbyStateforthe117thCongress/sheets/goal,yusukenakanishi,
WOW2022_W43_SelectedSubcategoryInfluence,WOW2022_W43_Selected Subcategory Influence,goal,24,0,YusukeNakanishi,yusukenakanishi,WOW2022_W43_SelectedSubcategoryInfluence/sheets/goal,yusukenakanishi,
ChildMarriage_16671472641940,Child Marriage,Dashboard1,44,0,YusukeNakanishi,yusukenakanishi,ChildMarriage_16671472641940/sheets/Dashboard1,yusukenakanishi,
MOM2022W43_MajorLeagueBaseballPitchTypes,MOM2022W43_Major League Baseball Pitch Types,goal,57,1,YusukeNakanishi,yusukenakanishi,MOM2022W43_MajorLeagueBaseballPitchTypes/sheets/goal,yusukenakanishi,
MOM2022W42_U_S_FoodDrugAdministrationInspections,MOM2022W42_U.S. Food & Drug Administration Inspections,1_1,72,0,YusukeNakanishi,yusukenakanishi,MOM2022W42_U_S_FoodDrugAdministrationInspections/sheets/1_1,yusukenakanishi,
WOW2022_W40_Canyoucreateanaccessibledashboard,WOW2022_W40_Can you create an accessible dashboard,Dashboard1,29,0,YusukeNakanishi,yusukenakanishi,WOW2022_W40_Canyoucreateanaccessibledashboard/sheets/Dashboard1,yusukenakanishi,
MOM2022W41_UnitedNationsHumanDevelopmentIndex,MOM2022W41_United Nations Human Development Index,Dashboard2,33,0,YusukeNakanishi,yusukenakanishi,MOM2022W41_UnitedNationsHumanDevelopmentIndex/sheets/Dashboard2,yusukenakanishi,
Thecostof1GBofMobileDatainEveryCountryBI,The cost of 1GB of Mobile Data in Every Country(第一回BIツール勉強会),Dashboard1,57,0,YusukeNakanishi,yusukenakanishi,Thecostof1GBofMobileDatainEveryCountryBI/sheets/Dashboard1,yusukenakanishi,
